Construction	Verb
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
DITRANSITIVE	give
